"","Year","Area","Street","Street 2"
"293",2011,"Birmingham","Hairy  Lemon  Pub  .Sutton  Coldfield",NA
"294",2011,"Birmingham","Hermatige  rd.",NA
"295",2011,"Birmingham","Hermatige  rd.",NA
"296",2011,"Birmingham","Herm Tage  Dr Ve",NA
"297",2011,"Birmingham","High  str.",NA
"298",2011,"Birmingham","High  str.  Erdington",NA
"299",2011,"Birmingham","High  str.,  Erdington",NA
"300",2011,"Birmingham","High  str.,  Erdington",NA
"301",2011,"Birmingham","High  str.,  S/C",NA
"302",2011,"Birmingham","High  str.,  S/C",NA
"303",2011,"Birmingham","Hight  St  Erd Ngton",NA
"304",2011,"Birmingham","Hunton  H Ll",NA
"305",2011,"Birmingham","Kfc  Retail  Outlet  ,  Erdington  High  str.",NA
"306",2011,"Birmingham","Kingsbury  rd.,  Erdington,  B'ham",NA
"307",2011,"Birmingham","Kingstanding  Circle",NA
"308",2011,"Birmingham","Ladywell  Walk,  Birmingham",NA
"309",2011,"Birmingham","Landsdown  rd.",NA
"310",2011,"Birmingham","L Chf Eld  rd.,  Mere  Green",NA
"311",2011,"Birmingham","L Chf Eld  rd.,  Sutton  Coldf Eld",NA
"312",2011,"Birmingham","Lindridge  rd.,  Sutton  Coldfield",NA
"313",2011,"Birmingham","Little  Aston  Lane",NA
"314",2011,"Birmingham","Longford  rd.",NA
"315",2011,"Birmingham","Longford  rd.,  Kingstanding,  B'ham",NA
"316",2011,"Birmingham","Lower  Parade",NA
"317",2011,"Birmingham","Lower  Parade",NA
"318",2011,"Birmingham","Lower  Parade",NA
"319",2011,"Birmingham","Lower  Parade",NA
"320",2011,"Birmingham","Lower  Parade",NA
"321",2011,"Birmingham","Lower  Parade",NA
"322",2011,"Birmingham","Lower  Parade",NA
"323",2011,"Birmingham","Lower  Parade",NA
"324",2011,"Birmingham","Lower  Parade",NA
"325",2011,"Birmingham","Lower  Parade",NA
"326",2011,"Birmingham","Lower  Parade",NA
"327",2011,"Birmingham","Lower  Parade",NA
"328",2011,"Birmingham","Lower  Parade",NA
"329",2011,"Birmingham","Lower  Parade",NA
"330",2011,"Birmingham","Lower  Parade",NA
"331",2011,"Birmingham","Lower  Parade",NA
"332",2011,"Birmingham","Lower  Parade",NA
"333",2011,"Birmingham","Lower  Parade",NA
"334",2011,"Birmingham","Lower  Parade",NA
"335",2011,"Birmingham","Lower  Parade  Sc",NA
"336",2011,"Birmingham","Lower  Parade  Sutton",NA
"337",2011,"Birmingham","Lower  Parade  Sutton  Coldfield",NA
"338",2011,"Birmingham","Lower  Parade,",NA
"339",2011,"Birmingham","Lower  Parade,  Suton  Coldfield",NA
"340",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"341",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"342",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"343",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"344",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"345",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"346",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"347",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"348",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"349",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"350",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"351",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"352",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"353",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"354",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",NA
"355",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield  Town  Centre",NA
"356",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield  Town  Centre",NA
"357",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield.",NA
"358",2011,"Birmingham","Lydham  Close",NA
"359",2011,"Birmingham","Mill  str.",NA
"360",2011,"Birmingham","Mill  str.,  Sutton  Coldfield",NA
"361",2011,"Birmingham","Moor  Hall  Hotel",NA
"362",2011,"Birmingham","Mulberry  Court  Carpark,  Kings  rd.,  Kingstanding,  Birmingham",NA
"363",2011,"Birmingham","Newhall  Walk  Car  Park",NA
"364",2011,"Birmingham","Newhall  Walk  Car  Park",NA
"365",2011,"Birmingham","O/S  H/A",NA
"366",2011,"Birmingham","O/S  Litten  Tree",NA
"367",2011,"Birmingham","O/S  Litten  Tree,  S/C  Town  Centre",NA
"368",2011,"Birmingham","O/S  Moomoo  Bar,  S/C  Town  Centre",NA
"369",2011,"Birmingham","O/S  Moomoo  Bar,  South  Parade",NA
"370",2011,"Birmingham","O/S  Retro",NA
"371",2011,"Birmingham","O/S  Retro  ,  South  Parade",NA
"372",2011,"Birmingham","O/S  Retros",NA
"373",2011,"Birmingham","O/S  Royal  Hotel,  Lichfield  rd.",NA
"374",2011,"Birmingham","O/S  Temple  Bar",NA
"375",2011,"Birmingham","O/S  Temple  Bar",NA
"376",2011,"Birmingham","O/S  Temple  Bar,  High  str.",NA
"377",2011,"Birmingham","O/S  Temple  Bar,  Lower  Parade  Sutton  Coldfield.",NA
"378",2011,"Birmingham","O/S  Temple  Bar,  S/C  Town  Centre",NA
"379",2011,"Birmingham","O/S  Temple  Bar,  Sutton  Coldfield,  West  Milands",NA
"380",2011,"Birmingham","O/S  The  Hairy  Lemon",NA
"381",2011,"Birmingham","On  Pavement  Outside  The  Royal  Hotel",NA
"382",2011,"Birmingham","Ourtside  Royal  Pub,  Lichfield  rd.,  Sutton  Coldfield",NA
"383",2011,"Birmingham","Outside  Glendale  Tower,  Lyndhurst  Estate",NA
"384",2011,"Birmingham","Outside  Litten  Tree  Pub,  Birmingham  rd.,  Sutton  Coldfield`",NA
"385",2011,"Birmingham","Outside  Moo  Moo  Club,  Town  Centre,  Sutton  Coldfield",NA
"386",2011,"Birmingham","Outside  Moo  Moo  Night  Club,  South  Parade",NA
"387",2011,"Birmingham","Outside  Temple  Parade,  Lower  Parade",NA
"388",2011,"Birmingham","Outside  The  Temple  Bar,  Lower  Parade,  Sc",NA
"389",2011,"Birmingham","Parade  .  Sutton  Coldf Eld",NA
"390",2011,"Birmingham","Parade  Sc",NA
"391",2011,"Birmingham","Parade  Sutton  Coldfield",NA
"392",2011,"Birmingham","Parade  Sutton  Coldfield",NA
"393",2011,"Birmingham","Parade  Sutton  Coldf Eld",NA
"394",2011,"Birmingham","Parade  Sutton  Town",NA
"395",2011,"Birmingham","Parade,  Sutton  Coldfield",NA
"396",2011,"Birmingham","Parade,  Sutton  Coldfield",NA
"397",2011,"Birmingham","Parade,  Sutton  Town  Centre",NA
"398",2011,"Birmingham","Parkeston  Crescent,  Kinsgatnding,  B'ham",NA
"399",2011,"Birmingham","Plants  Grove  Erd Ngton",NA
"400",2011,"Birmingham","Pype  Hayes  rd.,  Pype  Hayes,  B'ham",NA
"401",2011,"Birmingham","Pype  Hayes  rd.,  Pype  Hayes,  B'ham",NA
"402",2011,"Birmingham","Pype  Hayes  rd.,  Pype  Hayes,  B'ham",NA
"403",2011,"Birmingham","Queen  str.",NA
"404",2011,"Birmingham","Queen  str.",NA
"405",2011,"Birmingham","Queen  str.",NA
"406",2011,"Birmingham","Queen  str.",NA
"407",2011,"Birmingham","Queen  str.  Sutton  Coldfield  Town  Centre",NA
"408",2011,"Birmingham","Queslett  rd.  East",NA
"409",2011,"Birmingham","Redacre  Rd  Boldmere",NA
"410",2011,"Birmingham","Reservo R  rd.",NA
"411",2011,"Birmingham","Ridgeway","Ridgeway"
"412",2011,"Birmingham","Slade  rd.,  Erdington,  B'ham",NA
"413",2011,"Birmingham","Slade  rd.,  Erdington,  B'ham",NA
"414",2011,"Birmingham","Soth  Parade,  Sutton  Coldfield",NA
"415",2011,"Birmingham","Soth  Parade,  Sutton  Coldfield",NA
"416",2011,"Birmingham","South  Parade",NA
"417",2011,"Birmingham","South  Parade",NA
"418",2011,"Birmingham","South  Parade",NA
"419",2011,"Birmingham","South  Parade",NA
"420",2011,"Birmingham","South  Parade",NA
"421",2011,"Birmingham","South  Parade",NA
"422",2011,"Birmingham","South  Parade",NA
"423",2011,"Birmingham","South  Parade",NA
"424",2011,"Birmingham","South  Parade",NA
"425",2011,"Birmingham","South  Parade",NA
"426",2011,"Birmingham","South  Parade",NA
"427",2011,"Birmingham","South  Parade",NA
"428",2011,"Birmingham","South  Parade  Aa Ya   Town  Centre,  Sutton  Coldfield",NA
"429",2011,"Birmingham","South  Parade  Sutton  Coldfield",NA
"430",2011,"Birmingham","South  Parade  Sutton  Coldfield",NA
"431",2011,"Birmingham","South  Parade  Sutton  Town  Centre",NA
"432",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"433",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"434",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"435",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"436",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"437",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"438",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"439",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"440",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"441",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"442",2011,"Birmingham","South  Parade,  Sutton  Coldfield",NA
"443",2011,"Birmingham","South  Parade,  Sutton  Town  Centre",NA
"444",2011,"Birmingham","South  Parade,  Town  Centre,  Sutton  Coldfield",NA
"445",2011,"Birmingham","Stornaway  rd.  Castle  Vale",NA
"446",2011,"Birmingham","str.ley  rd.  Erd Ngton",NA
"447",2011,"Birmingham","Sumburgh  Croft",NA
"448",2011,"Birmingham","Sutton  Coldfield  Town  Centre",NA
"449",2011,"Birmingham","Sutton  Coldfield  Town  Centre",NA
"450",2011,"Birmingham","Sutton  New  rd.",NA
"451",2011,"Birmingham","Sutton  New  rd.  Erdington",NA
"452",2011,"Birmingham","Sutton  New  rd.  Erd Ngton",NA
"453",2011,"Birmingham","Sutton  New  rd.  Erd Ngton",NA
"454",2011,"Birmingham","Sutton  New  rd.,  Erdington,  B'ham",NA
